epoch,train_loss
1,3.4203135431494914e-05
2,2.839615754393527e-05
3,2.3599426104810733e-05
4,2.0457196505158578e-05
5,1.8616386604241834e-05
6,1.6948667038041153e-05
7,1.616649246236356e-05
8,1.4906473164235663e-05
9,1.4107569116972145e-05
10,1.3564363860478974e-05
11,1.291991307426145e-05
12,1.2411415999565264e-05
13,1.201619407531299e-05
14,1.155010577645934e-05
15,1.128219366740734e-05
16,1.0906289015250375e-05
17,1.0597712080381812e-05
18,1.0295249949792872e-05
19,1.0045560816964961e-05
20,9.823811299669919e-06
21,9.60624246879384e-06
22,9.3691347457635e-06
23,9.141737588448183e-06
24,8.981678417995615e-06
25,8.802119353326052e-06
26,8.620202438461643e-06
27,8.460384272440552e-06
28,8.320075371072105e-06
29,8.196737549554402e-06
30,8.053464518463463e-06
31,7.94353296512551e-06
32,7.844966282518828e-06
33,7.730918326771294e-06
34,7.616867893984799e-06
35,7.517259607679142e-06
36,7.4311109737096745e-06
37,7.342343946477368e-06
38,7.2708671272205504e-06
39,7.17360037438689e-06
40,7.0993319234038245e-06
41,7.0207453896751214e-06
42,6.947336338985895e-06
43,6.88180878552228e-06
44,6.8170585595010315e-06
45,6.762147921190464e-06
46,6.718869629743731e-06
47,6.6549152472514734e-06
48,6.608424306790571e-06
49,6.55104842850877e-06
50,6.5085977677885376e-06
51,6.461404648487256e-06
52,6.417525965989839e-06
53,6.379256432442835e-06
54,6.338436231933176e-06
55,6.299846609417131e-06
56,6.2703458290590535e-06
57,6.236662572819701e-06
58,6.204955566141088e-06
59,6.176494027039131e-06
60,6.142289287984953e-06
61,6.116739212878502e-06
62,6.079866138695847e-06
63,6.064996786737221e-06
64,6.048423262824936e-06
65,6.023766477607672e-06
66,6.0011197742484415e-06
67,5.977932856018173e-06
68,5.959885150134649e-06
69,5.94530728219334e-06
70,5.9252411068981415e-06
71,5.912459175948229e-06
72,5.899309629497004e-06
73,5.877321108887534e-06
74,5.868640801856736e-06
75,5.850105449863223e-06
76,5.843025094032854e-06
77,5.831425102939529e-06
78,5.813201712406432e-06
79,5.805014719585455e-06
80,5.789770893989172e-06
81,5.785007336501512e-06
82,5.775915100535713e-06
83,5.764662291576028e-06
84,5.753575774792554e-06
85,5.748871481123212e-06
86,5.739709473757444e-06
87,5.735215402241793e-06
88,5.724033603201558e-06
89,5.716508491058615e-06
90,5.70814633808564e-06
91,5.69966932014396e-06
92,5.695105151070184e-06
93,5.694548218389917e-06
94,5.6854245478300195e-06
95,5.678313480242545e-06
96,5.6755021776535e-06
97,5.679687456731894e-06
98,5.667474561574335e-06
99,5.65911546743595e-06
100,5.655693001762014e-06
